par chr ind mid sexind
F 4 4 190396941 4F
M 4 4 8108199 4M
M 4 4 37197327.5 4M
M 4 4 57852394.5 4M
M 4 4 97142928 4M
M 4 4 185522627.5 4M
M 5 4 94806878 4M
M 6 4 71076204.5 4M
F 7 4 78319753 4F
M 7 4 44047811.5 4M
M 7 4 130949287 4M
F 8 4 72619288.5 4F
M 8 4 61998734 4M
M 8 4 120063495 4M
M 8 4 142200124.5 4M
F 9 4 2263137 4F
M 9 4 14247458 4M
F 10 4 28815011.5 4F
F 10 4 127867541.5 4F
M 10 4 2834278 4M
F 11 4 11333705 4F
F 11 4 124507042 4F
M 11 4 9288061.5 4M
M 11 4 82572879 4M
F 12 4 7618145 4F
F 12 4 19466319.5 4F
M 12 4 113575421.5 4M
F 13 4 98054078.5 4F
M 13 4 106567721 4M
F 14 4 100897999 4F
M 14 4 22687372 4M
M 14 4 31465309.5 4M
M 14 4 57819017 4M
M 14 4 72119862 4M
F 15 4 33553593.5 4F
M 15 4 23589665.5 4M
M 15 4 35797275 4M
M 15 4 89428066.5 4M
M 16 4 4444789.5 4M
M 16 4 26681779.5 4M
M 16 4 62036054 4M
M 16 4 79601076.5 4M
F 17 4 1029742.5 4F
M 17 4 5983400 4M
F 18 4 639155.5 4F
F 18 4 5145779 4F
M 18 4 18351832 4M
M 18 4 44525714 4M
M 18 4 73931959 4M
F 19 4 58211346 4F
M 19 4 18955527 4M
M 20 4 15443254.5 4M
M 20 4 57564229.5 4M
M 21 4 14802457.5 4M
F 22 4 16163379 4F
F 1 5 48921759 5F
M 1 5 24470722.5 5M
M 1 5 211063640 5M
F 2 5 223613719 5F
M 2 5 10408137.5 5M
M 2 5 15998474 5M
M 2 5 42887067 5M
M 2 5 204615383 5M
F 3 5 4860123 5F
F 3 5 143951968 5F
M 3 5 53994618.5 5M
M 3 5 61523850 5M
M 3 5 106661458.5 5M
M 3 5 140825232.5 5M
M 4 5 7437878 5M
M 4 5 34978962.5 5M
M 4 5 122192247 5M
F 5 5 7918816.5 5F
M 5 5 58677829.5 5M
M 5 5 72858838.5 5M
M 5 5 107146593 5M
M 5 5 139812929 5M
M 5 5 172596342.5 5M
F 6 5 6160828.5 5F
M 6 5 167324776.5 5M
F 7 5 2971043 5F
M 7 5 20121060.5 5M
M 7 5 40950997 5M
M 7 5 130163743 5M
F 8 5 138892237 5F
M 9 5 12269062.5 5M
F 10 5 10539708 5F
F 10 5 16734615 5F
F 10 5 133708298.5 5F
M 10 5 99548981.5 5M
F 11 5 119575962 5F
M 11 5 20795842 5M
F 12 5 12342574.5 5F
F 12 5 52580691 5F
M 12 5 17267081.5 5M
M 12 5 117791088.5 5M
F 14 5 34282756 5F
F 14 5 94521984 5F
M 14 5 29060326.5 5M
M 14 5 74876445.5 5M
F 15 5 30745145 5F
F 16 5 821063.5 5F
M 16 5 10816273 5M
M 16 5 52548269 5M
F 17 5 2924162.5 5F
M 17 5 35648617.5 5M
M 18 5 69351833 5M
F 20 5 620654 5F
M 20 5 6069364.5 5M
M 20 5 44785272 5M
M 21 5 39154701.5 5M
F 22 5 32729225.5 5F
M 22 5 21404218.5 5M
F 1 6 238678412 6F
M 1 6 228282401 6M
M 1 6 247134686 6M
F 2 6 6594304 6F
F 2 6 37675712 6F
F 2 6 171420801 6F
F 2 6 208524193 6F
M 2 6 8376956.5 6M
M 2 6 171239129.5 6M
M 2 6 220277496.5 6M
F 3 6 124215574.5 6F
M 3 6 45230032 6M
M 3 6 95379718 6M
M 3 6 191765732.5 6M
M 4 6 14623092.5 6M
M 4 6 40853152.5 6M
M 4 6 153638481 6M
F 5 6 135177836 6F
M 5 6 32508432.5 6M
M 5 6 116132005 6M
M 5 6 180384058 6M
F 6 6 132682748.5 6F
F 7 6 20339842 6F
F 7 6 82187374.5 6F
F 7 6 156352699 6F
M 7 6 7787425 6M
M 7 6 27202577 6M
F 8 6 19538768 6F
F 8 6 125010413 6F
M 8 6 6383757.5 6M
M 8 6 28604179.5 6M
F 9 6 74178271.5 6F
M 9 6 23473539 6M
M 9 6 80890209.5 6M
M 9 6 123586675.5 6M
F 10 6 79752381.5 6F
M 10 6 61102602.5 6M
M 10 6 123014871 6M
F 11 6 2784354 6F
F 11 6 132125314 6F
M 11 6 13927436.5 6M
M 11 6 101963969.5 6M
F 12 6 5945739 6F
F 12 6 62664486.5 6F
M 12 6 51011550 6M
M 12 6 80849441 6M
M 12 6 101720045 6M
F 13 6 35071488.5 6F
F 13 6 108157307.5 6F
M 13 6 42581898 6M
F 14 6 74946286.5 6F
F 15 6 55473714 6F
F 15 6 95479842 6F
M 15 6 23875042.5 6M
F 16 6 78526411.5 6F
M 16 6 20013956.5 6M
M 16 6 52744515.5 6M
F 17 6 57214949.5 6F
F 18 6 66699629.5 6F
M 18 6 7189681 6M
M 18 6 69644176 6M
F 19 6 14057393 6F
F 19 6 60402468.5 6F
F 20 6 2275111 6F
M 20 6 11175474 6M
M 20 6 42956735.5 6M
M 20 6 57530821 6M
F 21 6 40249606 6F
M 21 6 16473982.5 6M
M 21 6 40950658 6M
F 22 6 34371182.5 6F
M 22 6 17486778.5 6M
M 22 6 46617241 6M
F 1 7 47538450.5 7F
F 1 7 188564304.5 7F
F 1 7 242576478.5 7F
M 1 7 20317980.5 7M
M 1 7 221067484.5 7M
F 2 7 3099901 7F
F 2 7 114085349 7F
M 2 7 10294310.5 7M
M 2 7 37904468.5 7M
M 2 7 76721534.5 7M
M 2 7 238445736 7M
F 3 7 14137705 7F
F 3 7 76834682 7F
F 3 7 161806786.5 7F
M 3 7 15295237.5 7M
F 4 7 190892683.5 7F
M 4 7 8109214.5 7M
M 4 7 37162498 7M
M 4 7 84759774.5 7M
M 4 7 115507901 7M
M 4 7 141361647.5 7M
M 4 7 183698490.5 7M
F 5 7 180383638 7F
M 5 7 79148191 7M
M 5 7 124066953.5 7M
M 5 7 167411508 7M
F 6 7 167433816 7F
M 6 7 44560620.5 7M
F 7 7 37301999.5 7F
F 7 7 149433734.5 7F
F 7 7 157482902 7F
M 7 7 80358311 7M
F 8 7 19769271.5 7F
M 8 7 12823553 7M
M 8 7 92949270 7M
M 8 7 134956418 7M
M 9 7 28595979 7M
M 9 7 107768189 7M
F 10 7 1925397 7F
F 10 7 132721468.5 7F
M 10 7 29389725.5 7M
F 11 7 6285330.5 7F
M 11 7 12560628 7M
M 11 7 129083417.5 7M
F 12 7 62557903 7F
M 12 7 27730066 7M
F 14 7 97010080.5 7F
M 14 7 98719597.5 7M
M 15 7 34192058.5 7M
M 15 7 71525732 7M
F 16 7 13833993.5 7F
F 16 7 81370348 7F
M 16 7 77773999 7M
F 17 7 65260342.5 7F
M 17 7 11489455 7M
M 17 7 64485139.5 7M
F 18 7 13075654 7F
M 19 7 9890867 7M
M 19 7 58025515 7M
M 20 7 9131770.5 7M
M 20 7 36341511 7M
M 21 7 32519210.5 7M
M 21 7 44610364 7M
M 22 7 25769293 7M
M 22 7 44205006.5 7M
F 1 8 101492486 8F
M 1 8 22025995.5 8M
M 1 8 105463033.5 8M
F 2 8 46478600 8F
F 2 8 163360494.5 8F
F 2 8 233734280.5 8F
M 2 8 55539302.5 8M
M 2 8 120800869.5 8M
M 2 8 165077809.5 8M
M 2 8 227756638 8M
F 3 8 5094600 8F
F 3 8 30466391 8F
M 3 8 20855180 8M
M 3 8 72322441 8M
M 3 8 142343546.5 8M
M 3 8 148229587 8M
M 3 8 166347946.5 8M
F 4 8 41728325.5 8F
M 4 8 8197320.5 8M
F 5 8 170191805.5 8F
M 5 8 7951270.5 8M
M 5 8 71019872 8M
M 5 8 97378530 8M
F 6 8 48591621.5 8F
M 6 8 56316564.5 8M
M 6 8 82625656.5 8M
M 6 8 154028919 8M
F 7 8 30688900 8F
F 7 8 96633794 8F
F 7 8 152349241.5 8F
M 7 8 6842493 8M
M 8 8 79133049 8M
M 8 8 123940799 8M
F 9 8 68289548 8F
F 9 8 94465987.5 8F
F 9 8 138138298.5 8F
M 9 8 77576176 8M
M 9 8 112695756.5 8M
F 10 8 6315964.5 8F
M 10 8 80698383 8M
M 10 8 110749593.5 8M
F 11 8 133326337 8F
M 11 8 19922300.5 8M
F 12 8 2419643 8F
F 12 8 129662998 8F
M 12 8 104715997.5 8M
F 13 8 31276775.5 8F
M 13 8 21131426 8M
M 13 8 73336940 8M
M 13 8 110192435 8M
F 14 8 23448401 8F
F 14 8 32091964.5 8F
F 14 8 79163287.5 8F
M 14 8 22381721 8M
M 14 8 33423957.5 8M
M 14 8 92225355 8M
M 15 8 87149887 8M
F 16 8 84220140 8F
M 16 8 86660205.5 8M
F 17 8 75169783.5 8F
M 17 8 64264968.5 8M
M 18 8 63115475.5 8M
M 18 8 75808111.5 8M
M 19 8 18027169 8M
M 19 8 55349133.5 8M
M 20 8 24494301 8M
F 21 8 26467324.5 8F
F 22 8 45879595.5 8F
F 1 9 182646798 9F
F 1 9 245177708 9F
M 1 9 117412032.5 9M
M 1 9 153010499.5 9M
F 2 9 16947425.5 9F
F 2 9 225790024.5 9F
M 2 9 145314419.5 9M
M 3 9 2621761.5 9M
M 4 9 16182212.5 9M
M 4 9 61407028 9M
M 4 9 148689359.5 9M
F 5 9 12600470.5 9F
M 5 9 94033054 9M
M 6 9 33119472 9M
M 6 9 80172753.5 9M
M 6 9 132847696 9M
F 7 9 28687072.5 9F
F 7 9 156341227.5 9F
M 7 9 11841516 9M
M 7 9 97960787.5 9M
F 8 9 6289682 9F
M 8 9 120618000 9M
M 8 9 137860584.5 9M
F 9 9 18613314.5 9F
F 9 9 108598465 9F
M 9 9 4929077 9M
M 9 9 37449296 9M
M 9 9 89353751.5 9M
F 10 9 12629236.5 9F
M 10 9 73509583.5 9M
F 11 9 2527151 9F
F 11 9 79183228 9F
M 11 9 3264972 9M
M 11 9 32182688.5 9M
M 11 9 63460680 9M
F 12 9 126997390 9F
M 12 9 20076970.5 9M
M 12 9 57480689 9M
F 13 9 46616960.5 9F
M 14 9 31455967 9M
M 15 9 24797753.5 9M
F 16 9 2091493.5 9F
F 16 9 80783546 9F
M 16 9 25638037.5 9M
M 16 9 71684378.5 9M
M 17 9 11191193.5 9M
M 17 9 37425525 9M
M 17 9 62944144.5 9M
F 18 9 51557654.5 9F
M 18 9 37699951.5 9M
F 19 9 5283767.5 9F
M 19 9 39027039.5 9M
F 20 9 60969799.5 9F
M 20 9 56642594.5 9M
M 21 9 34620657 9M
M 22 9 16119039 9M
F 1 10 131964200 10F
M 1 10 13806014 10M
M 1 10 62155562 10M
M 1 10 200055490 10M
F 2 10 171319061.5 10F
M 2 10 26769096 10M
M 2 10 41239818 10M
M 2 10 76499400.5 10M
M 2 10 132866220 10M
F 3 10 45146997 10F
F 3 10 116734354 10F
F 3 10 173213206 10F
M 3 10 42302162.5 10M
M 3 10 63340635.5 10M
M 3 10 164607607.5 10M
F 4 10 36213966.5 10F
F 4 10 71699081 10F
M 4 10 5485258 10M
M 4 10 190801841.5 10M
F 5 10 29664732.5 10F
F 5 10 121419418.5 10F
F 5 10 167048384 10F
M 5 10 32495463.5 10M
M 5 10 75850080 10M
M 5 10 159286757.5 10M
F 6 10 23520138.5 10F
F 6 10 108480646.5 10F
F 6 10 151265311.5 10F
M 6 10 3845657.5 10M
M 6 10 23349485 10M
M 6 10 104785256.5 10M
F 7 10 90234521.5 10F
F 7 10 154556903.5 10F
M 7 10 11193768.5 10M
M 7 10 44268459 10M
M 7 10 78249032.5 10M
M 8 10 20893677 10M
M 8 10 31276618 10M
M 8 10 97573948 10M
M 8 10 129300272.5 10M
F 9 10 115627482.5 10F
M 9 10 23976440 10M
M 9 10 137351309.5 10M
F 10 10 79635695 10F
F 10 10 131626469.5 10F
M 10 10 13356481.5 10M
M 10 10 30908049 10M
M 10 10 99289860.5 10M
M 11 10 12085719.5 10M
M 11 10 120786583.5 10M
M 12 10 3941163.5 10M
M 12 10 114044692 10M
M 12 10 129203670.5 10M
M 13 10 29004890.5 10M
M 13 10 66087938 10M
M 14 10 78859685 10M
F 15 10 26505092 10F
F 15 10 94562993.5 10F
M 15 10 25213935 10M
M 15 10 56440778 10M
F 17 10 821403.5 10F
F 17 10 77331452.5 10F
M 17 10 36041765.5 10M
M 17 10 64426866.5 10M
M 18 10 20052789 10M
F 20 10 11042579 10F
F 20 10 60246711.5 10F
M 20 10 4311295 10M
M 20 10 52283395.5 10M
F 22 10 46631103 10F
M 22 10 21577777.5 10M
M 22 10 35337367.5 10M
F 1 11 18246745 11F
F 1 11 160968062.5 11F
F 1 11 245471334 11F
M 1 11 6386534.5 11M
M 1 11 147205142.5 11M
M 1 11 176205939.5 11M
M 1 11 212692576.5 11M
M 1 11 236533012.5 11M
F 2 11 124307568 11F
M 2 11 170844663.5 11M
M 2 11 208558668.5 11M
F 3 11 117137577.5 11F
M 3 11 32330673.5 11M
M 3 11 117121737 11M
F 4 11 20244684.5 11F
F 4 11 57684138.5 11F
F 4 11 154823798 11F
F 4 11 187633781.5 11F
M 4 11 18424579.5 11M
M 4 11 40922214.5 11M
M 4 11 79292844 11M
M 4 11 107971014.5 11M
M 4 11 141239818.5 11M
M 4 11 182553691.5 11M
F 5 11 67896592.5 11F
F 5 11 120945712 11F
F 5 11 180098502 11F
M 5 11 104979259 11M
M 5 11 173964067.5 11M
F 6 11 1018698 11F
F 6 11 39937559 11F
F 6 11 80417403 11F
M 6 11 84909655.5 11M
M 6 11 155700981.5 11M
F 7 11 7803405 11F
M 7 11 28394997 11M
M 7 11 152284167 11M
F 8 11 18476326.5 11F
M 8 11 18700405 11M
F 9 11 20479147.5 11F
F 9 11 71126095 11F
M 9 11 28641241 11M
M 9 11 78053174.5 11M
M 9 11 110410105.5 11M
F 10 11 3124921.5 11F
F 10 11 78952833.5 11F
M 10 11 60266371 11M
M 10 11 99986339 11M
F 11 11 73758455 11F
M 11 11 44249606 11M
M 11 11 78449346.5 11M
M 11 11 130925341.5 11M
F 12 11 128894441 11F
M 12 11 38269429 11M
M 12 11 73307638 11M
M 12 11 101483193.5 11M
M 13 11 37153399.5 11M
M 13 11 76577067 11M
F 14 11 68040500 11F
M 14 11 22657380.5 11M
M 14 11 71882639 11M
F 15 11 22650925.5 11F
M 15 11 27150978.5 11M
M 15 11 53994495 11M
F 16 11 83330639 11F
M 17 11 75735870.5 11M
F 18 11 49409955.5 11F
M 18 11 36042092 11M
F 19 11 3117876 11F
M 19 11 9455040.5 11M
F 20 11 51117092 11F
M 20 11 5761512.5 11M
M 20 11 45221872.5 11M
F 21 11 21327408 11F
M 21 11 26683332.5 11M
F 1 12 169387034 12F
M 1 12 57082820 12M
M 1 12 162829147 12M
M 1 12 177207753 12M
M 1 12 201627577 12M
F 2 12 4930879.5 12F
F 2 12 126771683 12F
F 2 12 221484380.5 12F
M 2 12 1879376 12M
M 2 12 87568029.5 12M
M 2 12 128808970.5 12M
M 2 12 181930833.5 12M
M 2 12 230556357.5 12M
F 3 12 913493.5 12F
F 3 12 60930657.5 12F
F 3 12 198667336.5 12F
M 3 12 40921051.5 12M
M 3 12 73760089 12M
M 3 12 150339265 12M
M 3 12 177697350.5 12M
F 4 12 169759964 12F
M 4 12 20972506 12M
M 4 12 99766288.5 12M
M 4 12 157025569.5 12M
F 5 12 3736704 12F
M 5 12 23566322 12M
M 5 12 51209346 12M
M 5 12 159722727 12M
F 6 12 12593160.5 12F
F 6 12 144198438.5 12F
M 6 12 11835472.5 12M
M 6 12 17442698.5 12M
M 6 12 91893601.5 12M
M 6 12 168250802 12M
F 7 12 26424556.5 12F
F 7 12 144455685.5 12F
M 7 12 24431863.5 12M
M 7 12 56916727.5 12M
M 7 12 78760659 12M
F 8 12 122352905.5 12F
M 8 12 17383100.5 12M
M 8 12 22710513 12M
M 8 12 70592408 12M
M 8 12 101701043 12M
M 8 12 126606919 12M
F 9 12 118115222 12F
M 9 12 8349546.5 12M
M 9 12 27630562 12M
M 9 12 116980884 12M
F 10 12 17206954 12F
M 10 12 29777131.5 12M
M 10 12 80624356.5 12M
F 11 12 78282010.5 12F
M 11 12 10813934 12M
M 11 12 29685132.5 12M
M 11 12 91041051.5 12M
M 11 12 124063348.5 12M
F 12 12 2817529.5 12F
M 12 12 17725659.5 12M
M 12 12 41352881.5 12M
M 12 12 90878420.5 12M
M 12 12 104909541 12M
M 12 12 128586591.5 12M
F 13 12 99232227.5 12F
M 13 12 29558147 12M
M 13 12 57374853.5 12M
M 13 12 71418890.5 12M
M 13 12 90579976 12M
F 14 12 91299784 12F
M 14 12 37653661 12M
F 15 12 96650781 12F
M 15 12 93657350 12M
F 16 12 3085616.5 12F
F 16 12 81219220.5 12F
M 16 12 9111523 12M
F 17 12 77792819.5 12F
M 17 12 62204385 12M
F 18 12 527654.5 12F
F 18 12 71087117.5 12F
M 18 12 13530114 12M
M 18 12 38607445 12M
F 19 12 5311462 12F
F 19 12 58562290.5 12F
F 20 12 227001 12F
M 20 12 4325408 12M
M 20 12 48431929 12M
M 21 12 15624740 12M
M 21 12 39366967.5 12M
F 1 13 3638600 13F
F 1 13 99573456 13F
M 1 13 67732975 13M
M 1 13 88101107 13M
M 1 13 132268621 13M
F 2 13 150628262.5 13F
F 2 13 193760505.5 13F
M 2 13 77181298 13M
M 2 13 121049438 13M
M 2 13 220422601.5 13M
M 2 13 234981413 13M
F 3 13 7293207.5 13F
F 3 13 54030417.5 13F
F 3 13 177943710 13F
M 3 13 8083692 13M
M 3 13 21444659.5 13M
M 3 13 77963948.5 13M
M 3 13 128941742.5 13M
F 4 13 41203380 13F
M 4 13 145604188.5 13M
F 5 13 9422017.5 13F
F 5 13 125024739.5 13F
F 5 13 163728355.5 13F
M 5 13 67138735 13M
M 5 13 123900762.5 13M
F 6 13 23490791 13F
F 6 13 140852877 13F
M 6 13 81232773 13M
M 6 13 132257246.5 13M
F 7 13 28887121.5 13F
F 7 13 153993008.5 13F
M 7 13 20534467.5 13M
M 7 13 42349244 13M
F 8 13 65513858.5 13F
F 9 13 4268007.5 13F
F 9 13 75259139 13F
F 9 13 136322385.5 13F
M 9 13 77155744 13M
F 10 13 12628796 13F
F 10 13 131639906 13F
M 10 13 15371248 13M
F 11 13 86998652 13F
M 11 13 26066897 13M
M 11 13 67660067 13M
M 11 13 110299155.5 13M
M 12 13 55538631 13M
M 12 13 94534141.5 13M
F 13 13 108278679.5 13F
M 13 13 30614377.5 13M
M 14 13 65373523 13M
M 14 13 96916787 13M
F 15 13 22780393 13F
F 15 13 90302510 13F
M 15 13 38160050.5 13M
M 15 13 89644407.5 13M
M 16 13 13952740 13M
M 16 13 78139837 13M
M 17 13 41941271.5 13M
F 18 13 723884 13F
F 18 13 75578401 13F
M 18 13 18254595 13M
M 18 13 54008460.5 13M
M 18 13 66310417.5 13M
M 19 13 39054676.5 13M
M 20 13 49021672.5 13M
M 21 13 35499521.5 13M
F 22 13 47948911 13F
F 1 14 238150810 14F
M 1 14 61532738 14M
M 1 14 155773256.5 14M
M 1 14 212300281 14M
F 2 14 144201639 14F
F 2 14 240630790 14F
M 2 14 3033372.5 14M
M 2 14 64614209 14M
M 2 14 112043999 14M
M 2 14 179310165.5 14M
F 3 14 15834745 14F
F 3 14 115106573 14F
M 3 14 3025644 14M
M 3 14 66767841 14M
M 3 14 135861610.5 14M
F 4 14 20506180.5 14F
F 4 14 174714498 14F
M 4 14 26641615 14M
M 4 14 83867069.5 14M
M 4 14 115216902 14M
M 4 14 184538450 14M
F 5 14 5614486 14F
F 5 14 80658668.5 14F
M 5 14 36916016.5 14M
M 5 14 133726333 14M
M 5 14 172023616.5 14M
F 6 14 170267974.5 14F
M 6 14 7571891 14M
M 6 14 52331152.5 14M
M 6 14 107117555 14M
M 7 14 121561580 14M
M 7 14 147968043.5 14M
F 8 14 36233683.5 14F
F 8 14 142278958.5 14F
M 8 14 32797946 14M
F 9 14 135536626.5 14F
M 9 14 88421537.5 14M
M 9 14 106607660 14M
M 10 14 29857048.5 14M
M 10 14 119405778 14M
F 11 14 5230051 14F
M 11 14 132629026 14M
F 12 14 90945717 14F
M 12 14 80494143.5 14M
M 12 14 127439245 14M
M 13 14 99184959.5 14M
F 14 14 36020027.5 14F
F 14 14 102094388.5 14F
M 14 14 30014207 14M
M 14 14 65386713.5 14M
M 14 14 96922410 14M
F 15 14 99757636 14F
M 15 14 69611717 14M
F 16 14 78116568 14F
M 16 14 8928188.5 14M
M 16 14 78401705 14M
M 16 14 78533934.5 14M
M 16 14 80978579 14M
F 18 14 9813010 14F
M 18 14 55522494.5 14M
M 19 14 17718610 14M
F 20 14 4413328.5 14F
M 20 14 10131914.5 14M
F 22 14 44008273.5 14F
M 22 14 41210182 14M
F 1 15 147372191 15F
F 1 15 240743378 15F
M 1 15 12267192.5 15M
M 1 15 30938606 15M
M 1 15 54184078 15M
M 1 15 96341946.5 15M
M 1 15 231500609 15M
F 2 15 235848684.5 15F
M 2 15 21429536 15M
M 2 15 105953305.5 15M
F 3 15 112210601.5 15F
F 3 15 183732711.5 15F
M 3 15 8689024.5 15M
M 3 15 66654711 15M
M 3 15 168484012.5 15M
F 4 15 2252268 15F
F 4 15 46909735.5 15F
M 4 15 7491946.5 15M
M 4 15 96713207 15M
M 4 15 136346981.5 15M
M 4 15 168784771 15M
F 5 15 2112799.5 15F
F 5 15 180352049 15F
F 6 15 91848751.5 15F
M 6 15 11428144 15M
M 6 15 43361267 15M
M 6 15 100672107.5 15M
M 6 15 150868334 15M
M 7 15 16683093 15M
